,categoria,nome,telefone,shopping
0,GASTRONOMIA,40 SABORES,32155209,shopping vitoria
1,"MODA PRAIA, GINÁSTICA E ACESSÓRIOS",ACQUAMARE,33351926,shopping vitoria
2,VESTUÁRIO FEMININO,AÇÚCAR MORENO,33351896,shopping vitoria
3,MODA FEMININA E MASCULINA,AD LIFE,32241812,shopping vitoria
4,COSMÉTICOS E PERFUMARIA,ADCOS,27 33351832 / 27 998507555,shopping vitoria
5,"MODA PRAIA, GINÁSTICA E ACESSÓRIOS",ADIDAS,40423333,shopping vitoria
6,MODA FEMININA E MASCULINA,ALEATORY,32243693,shopping vitoria
7,BELEZA E ESTÉTICA,ALICE SALAZAR STORE,27 3010-3609,shopping vitoria
8,MODA INFANTIL,ALPHABETO,33172322,shopping vitoria
9,CALÇADOS E BOLSAS,ANACAPRI,32244860,shopping vitoria
10,VESTUÁRIO FEMININO,ANIMALE,997291698,shopping vitoria
11,VESTUÁRIO MASCULINO,ARAMIS,33351621,shopping vitoria
12,CALÇADOS E BOLSAS,AREZZO,33351234,shopping vitoria
13,OUTROS,ARTESANATO CAPIXABA,981271313,shopping vitoria
14,ARTIGOS DO LAR,ARTEX,30103152,shopping vitoria
15,CALÇADOS,ARTWALK,33351205,shopping vitoria
16,ÓTICA,ATITUDE POINT,30103163,shopping vitoria
17,CALÇADOS,AUTHENTIC FEET,33351158,shopping vitoria
18,COSMÉTICOS E PERFUMARIA,AVATIM,33451234,shopping vitoria
19,GASTRONOMIA,BACIO DI LATTE,32245048,shopping vitoria
20,ARTIGOS PARA VIAGEM,BAGAGGIO,32150096,shopping vitoria
21,MODA JOVEM,BAHAMAS SKATE SURF SHOP,33351421,shopping vitoria
22,MODA JOVEM,BAHAMAS SURF SHOP,33351287,shopping vitoria
23,"OUTROS,SERVIÇOS EM GERAL",BANESTES S/A,32246037,shopping vitoria
24,"BELEZA E ESTÉTICA ,SERVIÇOS EM GERAL",BARBEARIA THE KING,996904141,shopping vitoria
25,MODA INFANTIL,BB BÁSICO,32155304,shopping vitoria
26,MODA ÍNTIMA,BEAUTY,33351680,shopping vitoria
27,PURIFICADORES DE ÁGUA,BEBEDOUROS & CIA,33452548,shopping vitoria
28,BELEZA E ESTÉTICA,BEL SALVADOR,33245886,shopping vitoria
29,COSMÉTICOS E PERFUMARIA,BELEZA INTENSY,99694-1445,shopping vitoria
30,MODA INFANTIL,BIBI CALÇADOS,32155450,shopping vitoria
31,PRODUTOS NATURAIS E MÍSTICOS,BIO MUNDO,3224-5003,shopping vitoria
32,GASTRONOMIA,BOB'S,33351267,shopping vitoria
33,GASTRONOMIA,BOB'S BURGERS,33351267,shopping vitoria
34,GASTRONOMIA,BOB´S,33351267,shopping vitoria
35,BELEZA E ESTÉTICA,BODY LASER,99647-3637,shopping vitoria
36,SERVIÇOS EM GERAL,BODYTECH,30103277,shopping vitoria
37,VESTUÁRIO MASCULINO,BROOKSFIELD,33451929,shopping vitoria
38,VESTUÁRIO FEMININO,BROOKSFIELD DONNA,33244135,shopping vitoria
39,GASTRONOMIA,BUBBLEKILL,988170262,shopping vitoria
40,GASTRONOMIA,BURGER KING,23970320,shopping vitoria
41,LOJA DE DEPARTAMENTO,C&A,21220002,shopping vitoria
42,BOMBONIERE,CACAU SHOW,3335-1383,shopping vitoria
43,GASTRONOMIA,CAFÉ NÚMERO UM,30103124,shopping vitoria
44,GASTRONOMIA,CAFÉ NÚMERO UM,30103135,shopping vitoria
45,VESTUÁRIO FEMININO,CAJUERA,997743682,shopping vitoria
46,GASTRONOMIA,CALIFORNIA COFFEE,33893395,shopping vitoria
47,LOJA DE DEPARTAMENTO,CAMICADO,3324-2887,shopping vitoria
48,GASTRONOMIA,CANTINA DO BACCO,31372057,shopping vitoria
49,JOIAS E RELÓGIOS,CARLA BUAIZ JOIAS,33157016,shopping vitoria
50,CALÇADOS E BOLSAS,CARMEN STEFFENS,32273258,shopping vitoria
51,JOIAS E RELÓGIOS,CAROLINA NEVES,996996200,shopping vitoria
52,"ARTIGOS DO LAR,LOJA DE DEPARTAMENTO,PRESENTES E DECORAÇÃO",Casa & Video,4020-3636,shopping vitoria
53,GASTRONOMIA,CASA BAUDUCCO,32245172,shopping vitoria
54,VESTUÁRIO MASCULINO,CASA DAS CUECAS,3324-6599,shopping vitoria
55,GASTRONOMIA,CASA DO PÃO DE QUEIJO,32244458,shopping vitoria
56,ARTIGOS ESPORTIVOS,CENTAURO,33252559,shopping vitoria
