,dia da semana,periodo de funcionamento,store_id
0,quinta-feira,10:00–22:00,0
1,sexta-feira,10:00–22:00,0
2,sábado,10:00–22:00,0
3,domingo,14:00–21:00,0
4,segunda-feira,10:00–22:00,0
5,terça-feira,10:00–22:00,0
6,quarta-feira,10:00–22:00,0
0,quinta-feira,10:00–22:00,4
1,sexta-feira,10:00–22:00,4
2,sábado,10:00–22:00,4
3,domingo,15:00–21:00,4
4,segunda-feira,10:00–22:00,4
5,terça-feira,10:00–22:00,4
6,quarta-feira,10:00–22:00,4
0,quinta-feira,10:00–22:00,6
1,sexta-feira,10:00–22:00,6
2,sábado,10:00–22:00,6
3,domingo,14:00–20:00,6
4,segunda-feira,10:00–22:00,6
5,terça-feira,10:00–22:00,6
6,quarta-feira,10:00–22:00,6
0,quinta-feira,10:00–19:30,8
1,sexta-feira,10:00–19:30,8
2,sábado,10:00–16:30,8
3,domingo,Fechado,8
4,segunda-feira,10:00–19:30,8
5,terça-feira,10:00–19:30,8
6,quarta-feira,10:00–19:30,8
0,quinta-feira,10:00–22:00,9
1,sexta-feira,10:00–22:00,9
2,sábado,10:00–22:00,9
3,domingo,14:00–21:00,9
4,segunda-feira,10:00–22:00,9
5,terça-feira,10:00–22:00,9
6,quarta-feira,10:00–22:00,9
0,quinta-feira,10:00–22:00,10
1,sexta-feira,10:00–22:00,10
2,sábado,10:00–22:00,10
3,domingo,14:00–21:00,10
4,segunda-feira,10:00–22:00,10
5,terça-feira,10:00–22:00,10
6,quarta-feira,10:00–22:00,10
0,quinta-feira,10:00–22:00,11
1,sexta-feira,10:00–22:00,11
2,sábado,10:00–22:00,11
3,domingo,14:00–21:00,11
4,segunda-feira,10:00–22:00,11
5,terça-feira,10:00–22:00,11
6,quarta-feira,10:00–22:00,11
0,quinta-feira,10:00–22:00,12
1,sexta-feira,10:00–22:00,12
2,sábado,10:00–22:00,12
3,domingo,15:00–21:00,12
4,segunda-feira,10:00–22:00,12
5,terça-feira,10:00–22:00,12
6,quarta-feira,10:00–22:00,12
0,quinta-feira,10:00–22:00,14
1,sexta-feira,10:00–22:00,14
2,sábado,10:00–22:00,14
3,domingo,14:00–21:00,14
4,segunda-feira,10:00–22:00,14
5,terça-feira,10:00–22:00,14
6,quarta-feira,10:00–22:00,14
0,quinta-feira,10:00–22:00,15
1,sexta-feira,10:00–22:00,15
2,sábado,10:00–22:00,15
3,domingo,14:00–21:00,15
4,segunda-feira,10:00–22:00,15
5,terça-feira,10:00–22:00,15
6,quarta-feira,10:00–22:00,15
0,quinta-feira,10:00–22:00,17
1,sexta-feira,10:00–22:00,17
2,sábado,10:00–22:00,17
3,domingo,14:00–21:00,17
4,segunda-feira,10:00–22:00,17
5,terça-feira,10:00–22:00,17
6,quarta-feira,10:00–22:00,17
0,quinta-feira,10:00–22:00,19
1,sexta-feira,10:00–22:00,19
2,sábado,10:00–22:00,19
3,domingo,10:00–22:00,19
4,segunda-feira,10:00–22:00,19
5,terça-feira,10:00–22:00,19
6,quarta-feira,10:00–22:00,19
0,quinta-feira,12:00–20:00,20
1,sexta-feira,12:00–20:00,20
2,sábado,12:00–20:00,20
3,domingo,Fechado,20
4,segunda-feira,12:00–20:00,20
5,terça-feira,12:00–20:00,20
6,quarta-feira,12:00–20:00,20
0,quinta-feira,10:00–22:00,25
1,sexta-feira,10:00–22:00,25
2,sábado,10:00–22:00,25
3,domingo,14:00–21:00,25
4,segunda-feira,10:00–22:00,25
5,terça-feira,10:00–22:00,25
6,quarta-feira,10:00–22:00,25
0,quinta-feira,10:00–22:00,26
1,sexta-feira,10:00–22:00,26
2,sábado,10:00–22:00,26
3,domingo,14:00–20:00,26
4,segunda-feira,10:00–22:00,26
5,terça-feira,10:00–22:00,26
6,quarta-feira,10:00–22:00,26
0,quinta-feira,10:00–22:00,28
1,sexta-feira,10:00–22:00,28
2,sábado,10:00–22:00,28
3,domingo,14:00–20:00,28
4,segunda-feira,10:00–22:00,28
5,terça-feira,10:00–22:00,28
6,quarta-feira,10:00–22:00,28
0,quinta-feira,10:00–22:00,30
1,sexta-feira,10:00–22:00,30
2,sábado,10:00–22:00,30
3,domingo,14:00–21:00,30
4,segunda-feira,10:00–22:00,30
5,terça-feira,10:00–22:00,30
6,quarta-feira,10:00–22:00,30
0,quinta-feira,10:00–19:30,31
1,sexta-feira,09:30–19:00,31
2,sábado,10:00–16:30,31
3,domingo,Fechado,31
4,segunda-feira,09:30–19:00,31
5,terça-feira,09:30–19:00,31
6,quarta-feira,09:30–19:00,31
0,quinta-feira,10:00–22:00,37
1,sexta-feira,10:00–22:00,37
2,sábado,10:00–22:00,37
3,domingo,14:00–21:00,37
4,segunda-feira,10:00–22:00,37
5,terça-feira,10:00–22:00,37
6,quarta-feira,10:00–22:00,37
0,quinta-feira,10:00–22:00,38
1,sexta-feira,10:00–22:00,38
2,sábado,10:00–22:00,38
3,domingo,14:00–21:00,38
4,segunda-feira,10:00–22:00,38
5,terça-feira,10:00–22:00,38
6,quarta-feira,10:00–22:00,38
0,quinta-feira,10:00–23:00,39
1,sexta-feira,10:00–23:00,39
2,sábado,10:00–23:00,39
3,domingo,11:00–22:00,39
4,segunda-feira,10:00–22:00,39
5,terça-feira,10:00–22:00,39
6,quarta-feira,10:00–22:00,39
0,quinta-feira,Fechado,45
1,sexta-feira,Fechado,45
2,sábado,Fechado,45
3,domingo,Fechado,45
4,segunda-feira,10:00–22:00,45
5,terça-feira,Fechado,45
6,quarta-feira,Fechado,45
0,quinta-feira,10:00–22:00,46
1,sexta-feira,10:00–22:00,46
2,sábado,10:00–22:00,46
3,domingo,14:00–21:00,46
4,segunda-feira,10:00–22:00,46
5,terça-feira,10:00–22:00,46
6,quarta-feira,10:00–22:00,46
0,quinta-feira,10:00–22:00,47
1,sexta-feira,10:00–22:00,47
2,sábado,10:00–22:00,47
3,domingo,12:00–22:00,47
4,segunda-feira,10:00–22:00,47
5,terça-feira,10:00–22:00,47
6,quarta-feira,10:00–22:00,47
0,quinta-feira,10:00–22:00,49
1,sexta-feira,10:00–22:00,49
2,sábado,10:00–22:00,49
3,domingo,14:00–22:00,49
4,segunda-feira,10:00–22:00,49
5,terça-feira,10:00–22:00,49
6,quarta-feira,10:00–22:00,49
0,quinta-feira,10:00–22:00,50
1,sexta-feira,10:00–22:00,50
2,sábado,10:00–22:00,50
3,domingo,Fechado,50
4,segunda-feira,10:00–22:00,50
5,terça-feira,10:00–22:00,50
6,quarta-feira,10:00–22:00,50
0,quinta-feira,10:00–22:00,53
